model,MAE,RMSE,WAPE_pct
CatBoost,304.0810505472491,450.86725108817325,5.985246897908575
XGBoost,347.7571117259838,518.9942500790661,6.844925622421097
Seasonal naive (168h),541.2481481481482,753.4080186675694,10.65342215133889
Persistence,885.2013888888889,1125.2219733687446,17.42347593622359
