iter	Passed	Remaining
406	6357	4576
407	6374	4562
408	6390	4547
409	6405	4530
410	6420	4514
411	6436	4499
412	6454	4485
413	6473	4472
414	6494	4459
415	6511	4445
416	6527	4429
417	6543	4414
418	6558	4398
419	6572	4381
420	6588	4366
421	6606	4352
422	6623	4337
423	6638	4321
424	6652	4304
425	6666	4287
426	6681	4271
427	6694	4254
428	6709	4238
429	6725	4222
430	6742	4208
431	6760	4194
432	6777	4178
433	6790	4162
434	6803	4144
435	6818	4128
436	6833	4112
437	6848	4096
438	6862	4079
439	6877	4063
440	6891	4047
441	6906	4031
442	6921	4015
443	6936	3999
444	6951	3983
445	6970	3969
446	6987	3955
447	7002	3938
448	7019	3923
449	7036	3909
450	7056	3896
451	7080	3884
452	7101	3871
453	7117	3856
454	7134	3841
455	7153	3827
456	7172	3814
457	7190	3799
458	7205	3783
459	7221	3767
460	7236	3751
461	7253	3736
462	7269	3721
463	7288	3707
464	7303	3691
465	7318	3675
466	7332	3658
467	7346	3641
468	7360	3625
469	7376	3609
470	7392	3594
471	7406	3577
472	7420	3561
473	7436	3545
474	7452	3530
475	7469	3515
476	7487	3500
477	7508	3487
478	7523	3471
479	7537	3454
480	7553	3438
481	7568	3422
482	7583	3407
483	7598	3391
484	7611	3374
485	7627	3358
486	7641	3342
487	7655	3325
488	7669	3309
489	7683	3292
490	7710	3282
491	7744	3274
492	7768	3261
493	7791	3249
494	7821	3239
495	7836	3223
496	7852	3207
497	7869	3191
498	7889	3177
499	7908	3163
500	7925	3148
501	7942	3132
502	7957	3116
503	7972	3100
504	7986	3084
505	8001	3067
506	8013	3050
507	8027	3034
508	8044	3018
509	8058	3002
510	8074	2986
511	8090	2970
512	8106	2954
513	8120	2938
514	8133	2921
515	8149	2905
516	8164	2890
517	8179	2873
518	8195	2857
519	8212	2842
520	8228	2827
521	8244	2811
522	8259	2795
523	8271	2778
524	8285	2761
525	8299	2745
526	8313	2729
527	8326	2712
528	8341	2696
529	8355	2680
530	8369	2663
531	8382	2647
532	8396	2630
533	8411	2614
534	8424	2598
535	8441	2582
536	8459	2567
537	8476	2552
538	8494	2537
539	8512	2522
540	8529	2506
541	8547	2491
542	8565	2476
543	8584	2461
544	8603	2446
545	8622	2431
546	8638	2416
547	8655	2400
548	8671	2385
549	8687	2369
550	8702	2353
551	8716	2336
552	8730	2320
553	8743	2304
554	8759	2288
555	8773	2272
556	8786	2255
557	8801	2239
558	8814	2223
559	8827	2206
560	8842	2191
561	8858	2175
562	8870	2158
563	8885	2142
564	8901	2126
565	8913	2110
566	8926	2093
567	8939	2077
568	8954	2061
569	8970	2045
570	8987	2030
571	9003	2014
572	9020	1999
573	9037	1983
574	9054	1968
575	9070	1952
576	9086	1936
577	9100	1920
578	9116	1905
579	9130	1889
580	9145	1873
581	9160	1857
582	9182	1842
583	9199	1827
584	9217	1812
585	9237	1797
586	9255	1781
587	9274	1766
588	9291	1750
589	9309	1735
590	9326	1720
591	9344	1704
592	9361	1689
593	9376	1673
594	9391	1657
595	9408	1641
596	9425	1626
597	9443	1610
598	9460	1595
599	9475	1579
600	9491	1563
601	9506	1547
602	9520	1531
603	9535	1515
604	9548	1499
605	9563	1483
606	9580	1467
607	9597	1452
608	9613	1436
609	9628	1420
610	9641	1404
611	9655	1388
612	9671	1372
613	9690	1357
614	9712	1342
615	9730	1326
616	9744	1310
617	9759	1294
618	9773	1278
619	9790	1263
620	9807	1247
621	9829	1232
622	9855	1218
623	9875	1202
624	9891	1187
625	9908	1171
626	9926	1155
627	9944	1140
628	9959	1124
629	9975	1108
630	9992	1092
631	10011	1077
632	10029	1061
633	10047	1045
634	10066	1030
635	10086	1015
636	10106	999
637	10121	983
638	10136	967
639	10153	951
640	10168	935
641	10186	920
642	10202	904
643	10217	888
644	10234	872
645	10248	856
646	10260	840
647	10276	824
648	10290	808
649	10304	792
650	10317	776
651	10330	760
652	10345	744
653	10360	728
654	10374	712
655	10389	696
656	10404	680
657	10417	664
658	10433	649
659	10449	633
660	10468	617
661	10485	601
662	10499	585
663	10514	570
664	10530	554
665	10548	538
666	10565	522
667	10581	506
668	10595	490
669	10610	475
670	10625	459
671	10639	443
672	10653	427
673	10672	411
674	10690	395
675	10711	380
676	10730	364
677	10747	348
678	10765	332
679	10782	317
680	10798	301
681	10813	285
682	10833	269
683	10857	253
684	10879	238
685	10901	222
686	10918	206
687	10932	190
688	10944	174
689	10959	158
690	10972	142
691	10987	127
692	11002	111
693	11019	95
694	11036	79
695	11051	63
696	11066	47
697	11081	31
698	11096	15
699	11111	0
