iter	RMSE
265	69.19517122
266	69.13903925
267	69.09659906
268	69.06214126
269	69.02670465
270	68.98989088
271	68.94745326
272	68.91148642
273	68.85448019
274	68.76786197
275	68.71676518
276	68.69468535
277	68.65173278
278	68.60010448
279	68.56387011
280	68.53639712
281	68.50625943
282	68.4618885
283	68.41611223
284	68.37598738
285	68.33499726
286	68.30209821
287	68.2476324
288	68.2112098
289	68.19043524
290	68.14725697
291	68.10720138
292	68.07606471
293	68.03252719
294	67.98142103
295	67.95858647
296	67.9299991
297	67.83304443
298	67.77749857
299	67.71921973
300	67.66849619
301	67.63022054
302	67.5744783
303	67.48676682
304	67.45536005
305	67.38977919
306	67.35841445
307	67.32510226
308	67.2992518
309	67.26121271
310	67.22303786
311	67.18364349
312	67.12547325
313	67.03842704
314	66.99894682
315	66.9705304
316	66.92065248
317	66.89230237
318	66.85935874
319	66.8132135
320	66.78047022
321	66.72058821
322	66.6892141
323	66.65130135
324	66.62080062
325	66.59319137
326	66.55449868
327	66.51940683
328	66.48864785
329	66.42796728
330	66.39195812
331	66.37290057
332	66.32895685
333	66.30927433
334	66.26474102
335	66.20001648
336	66.17580638
337	66.12135047
338	66.09518538
339	66.05582813
340	66.03284439
341	65.99552654
342	65.96235402
343	65.91861634
344	65.87997916
345	65.85157554
346	65.82386438
347	65.80803726
348	65.78692839
349	65.75305863
350	65.72335291
351	65.70066944
352	65.67976649
353	65.65294769
354	65.6118154
355	65.56222471
356	65.52245701
357	65.50265952
358	65.47294091
359	65.45490709
360	65.42361998
361	65.35026293
362	65.30999718
363	65.28957326
364	65.25706522
365	65.23950983
366	65.19017962
367	65.15992602
368	65.11138419
369	65.080976
370	65.04760619
371	65.03003013
372	65.0034653
373	64.9788922
374	64.9561805
375	64.9234833
376	64.89618333
377	64.85990861
378	64.83979046
379	64.79731518
380	64.77495293
381	64.74447215
382	64.72044872
383	64.69664682
384	64.67568934
385	64.63470521
386	64.6064806
387	64.54245395
388	64.5164822
389	64.49610128
390	64.46731771
391	64.43894382
392	64.42164078
393	64.38645419
394	64.37077141
395	64.33862081
396	64.28360407
397	64.26482151
398	64.24301819
399	64.22682622
400	64.19152967
401	64.17469386
402	64.14902446
403	64.13117813
404	64.11083573
405	64.08406567
406	64.05584235
407	64.00006882
408	63.97382839
409	63.95077485
410	63.92519438
411	63.89379848
412	63.87163225
413	63.83757081
414	63.81227764
415	63.75941101
416	63.72629088
417	63.71150985
418	63.65856111
419	63.64573695
420	63.6178048
421	63.58824423
422	63.56822993
423	63.55151927
424	63.53284225
425	63.51308303
426	63.49494661
427	63.46950799
428	63.42677356
429	63.40510332
430	63.3843055
431	63.35863496
432	63.32788227
433	63.30800822
434	63.28968894
435	63.26891362
436	63.24637266
437	63.22144909
438	63.20044652
439	63.17815508
440	63.16425066
441	63.13340163
442	63.11933941
443	63.07264334
444	63.05721861
445	63.03854531
446	62.99618778
447	62.98442059
448	62.95348079
449	62.93444822
450	62.90831478
451	62.86731806
452	62.8538907
453	62.83362791
454	62.81048428
455	62.79799028
456	62.77310558
457	62.76013204
458	62.72785231
459	62.71214565
460	62.69410577
461	62.66065011
462	62.63815831
463	62.62311858
464	62.60907337
465	62.58539952
466	62.57072423
467	62.55235874
468	62.53454785
469	62.50520823
470	62.48436147
471	62.45982567
472	62.44895738
473	62.41000893
474	62.38391928
475	62.37452332
476	62.34590607
477	62.33013347
478	62.31414043
479	62.29558722
480	62.27822478
481	62.25888025
482	62.23937874
483	62.21167778
484	62.19778027
485	62.17177626
486	62.1384614
487	62.11970066
488	62.09800434
489	62.0845119
490	62.07181661
491	62.05924415
492	62.04564176
493	62.02017105
494	62.009715
495	61.99925032
496	61.98413003
497	61.96427808
498	61.92355305
499	61.91359886
500	61.90191048
501	61.88070276
502	61.86379719
503	61.84434289
504	61.82610866
505	61.80899168
506	61.79857919
507	61.78575212
508	61.7475007
509	61.71541903
510	61.69828131
511	61.66104567
512	61.63929196
513	61.61019266
514	61.58956747
515	61.55744185
516	61.54159214
517	61.51002116
518	61.48510511
519	61.46896629
520	61.45596498
521	61.43766839
522	61.41600841
523	61.39751519
524	61.38904637
525	61.37193199
526	61.33419742
527	61.32430608
528	61.29023616
529	61.27786655
530	61.25638548
531	61.24552888
532	61.2121373
533	61.18377892
534	61.15941972
535	61.13929665
536	61.1163674
537	61.10131985
538	61.08056748
539	61.06583124
540	61.05220923
541	61.03913009
542	61.02843811
543	61.01708596
544	61.00333568
545	60.98910284
546	60.98135769
547	60.95898301
548	60.94634569
549	60.93104592
550	60.90800253
551	60.89309468
552	60.87583465
553	60.86439213
554	60.84585594
555	60.83002665
556	60.81207905
557	60.79895495
558	60.78118054
559	60.77357744
560	60.75859744
561	60.71854938
562	60.70605915
563	60.6912042
564	60.67645138
565	60.66708287
566	60.65592275
567	60.64016585
568	60.62352352
569	60.6128331
570	60.59728859
571	60.5748465
572	60.53983681
573	60.52797809
574	60.50450742
575	60.48889818
576	60.46238566
577	60.44052641
578	60.42652347
579	60.41114659
580	60.39650899
581	60.38521056
582	60.36572849
583	60.35833595
584	60.33872564
585	60.32688076
586	60.31750603
587	60.30370981
588	60.29101863
589	60.27309991
590	60.26297281
591	60.25470929
592	60.23350506
593	60.21704775
594	60.20628564
595	60.19458407
596	60.18538421
597	60.16798331
598	60.15839464
599	60.14464392
600	60.12715723
601	60.10554679
602	60.08954221
603	60.07213081
604	60.06255414
605	60.05382648
606	60.03977653
607	60.02387519
608	60.00646676
609	59.98858483
610	59.97361024
611	59.95968034
612	59.93399101
613	59.92443912
614	59.8982278
615	59.8853823
616	59.87597108
617	59.86261577
618	59.85035187
619	59.80972034
620	59.79700831
621	59.78508313
622	59.76977927
623	59.7583182
624	59.71856508
625	59.70467436
626	59.68890956
627	59.67178042
628	59.66121999
629	59.64767639
630	59.62725035
631	59.60626386
632	59.58723486
633	59.57474168
634	59.55170904
635	59.54214215
636	59.52111922
637	59.5113685
638	59.49836953
639	59.4805526
640	59.4582897
641	59.4467185
642	59.43998578
643	59.43021202
644	59.41696097
645	59.40844672
646	59.40080282
647	59.38312413
648	59.36887419
649	59.36219285
650	59.34858697
651	59.33933448
652	59.30717346
653	59.29308848
654	59.28176032
655	59.26898567
656	59.2588741
657	59.24960559
658	59.24277599
659	59.23631959
660	59.21848606
661	59.1956723
662	59.18107507
663	59.17530191
664	59.14529704
665	59.13354097
666	59.11950322
667	59.11130455
668	59.0871656
669	59.07727998
670	59.06203922
671	59.0495509
672	59.03882354
673	59.02269335
674	59.01454272
675	58.99777274
676	58.98429597
677	58.97472057
678	58.9581748
679	58.94593858
680	58.93232834
681	58.92245292
682	58.90769939
683	58.8978908
684	58.88236621
685	58.86437679
686	58.84826012
687	58.82691208
688	58.8187258
689	58.79388855
690	58.78432829
691	58.75373848
692	58.74363116
693	58.71588107
694	58.70186548
695	58.69040335
696	58.67629735
697	58.66861443
698	58.65142868
699	58.64364488
